# gcam_systems.csv - which GCAM system a market belongs to.
keyword,system,source
refin,Energy,
hydrogen,Energy,
nuclear,Energy,
wind,Energy,
solar,Energy,
ethanol,Energy,
bio,Energy,
gas,Energy,
oil,Energy,
fuel,Energy,
heat,Energy,
energy,Energy,
